id,name,title,imdb_score,tmdb_score,imdb_votes,tmdb_popularity,nor_imdb_vote,nor_tmdb_popularity,weighted_average_popularity
tm236725,Lotje Sodderland,My Beautiful Broken Brain,7.0,7.1,2286.0,3.201,0.47,0.47,0.47
tm151210,Jay Chapman,Jim Gaffigan: Obsessed,7.6,7.2,2244.0,3.499,0.47,0.48,0.48
tm146657,Rob Dipple,Jeff Dunham: All Over the Map,7.1,5.5,854.0,1.512,0.39,0.41,0.4
tm157681,Najwa Najjar,Eyes of a Thief,6.6,5.0,450.0,1.103,0.35,0.39,0.37
tm145791,Hwang Dong-hyuk,Miss Granny,7.2,7.4,3508.0,6.475,0.5,0.53,0.52
tm175954,Will Lovelace,Aziz Ansari: Buried Alive,7.2,7.0,3998.0,5.417,0.51,0.51,0.51
tm175954,Dylan Southern,Aziz Ansari: Buried Alive,7.2,7.0,3998.0,5.417,0.51,0.51,0.51
tm158436,Luis Lopez,Print the Legend,7.0,6.7,1967.0,4.769,0.46,0.5,0.48
tm158436,J. Clay Tweel,Print the Legend,7.0,6.7,1967.0,4.769,0.46,0.5,0.48
tm172027,Yılmaz Erdoğan,The Butterfly's Dream,7.7,7.3,22191.0,5.576,0.64,0.52,0.58
tm209037,Maite Alberdi,Tea Time,7.6,7.7,507.0,1.704,0.35,0.42,0.38
tm153055,Greg Whiteley,Mitt,6.9,6.3,2579.0,3.843,0.48,0.49,0.48
tm155051,Mike Smith,Trailer Park Boys - Live in F**kin' Dublin,6.2,6.0,1569.0,1.567,0.44,0.41,0.42
tm155051,John Paul Tremblay,Trailer Park Boys - Live in F**kin' Dublin,6.2,6.0,1569.0,1.567,0.44,0.41,0.42
tm155051,Robb Wells,Trailer Park Boys - Live in F**kin' Dublin,6.2,6.0,1569.0,1.567,0.44,0.41,0.42
tm143299,Renzil D'Silva,Ungli,5.8,5.8,3914.0,2.757,0.51,0.46,0.48
tm348393,,When Love Happens,4.8,5.0,129.0,1.287,0.25,0.4,0.32
tm182227,Lance Bangs,Marc Maron: Thinky Pain,7.3,7.2,1892.0,2.675,0.46,0.46,0.46
tm182534,Werner Herzog,From One Second to the Next,,7.1,2591.0,4.02,0.48,0.49,0.48
tm157461,Cem Yılmaz,Coming Soon,7.3,6.745,34137.0,6.194,0.68,0.53,0.6
tm370685,Tunde Kelani,Dazzling Mirage,,,2591.0,1.76,0.48,0.42,0.45
tm157609,Hernán Zin,Born in Gaza,7.4,8.8,511.0,1.4,0.35,0.41,0.38
tm152273,Yoshitomo Yonetani,Tiger & Bunny: The Rising,6.7,5.8,334.0,3.39,0.32,0.48,0.4
tm202914,David Sampliner,My Own Man,6.4,6.8,447.0,1.895,0.34,0.43,0.38
tm183654,Gary Mak,SDU: Sex Duties Unit,5.9,5.8,492.0,3.625,0.35,0.48,0.42
tm147518,Luciano Vidigal,City of God: 10 Years Later,6.4,6.9,1322.0,11.673,0.43,0.58,0.5
tm147518,Cavi Borges,City of God: 10 Years Later,6.4,6.9,1322.0,11.673,0.43,0.58,0.5
tm197423,Kunle Afolayan,October 1,6.4,6.2,446.0,1.347,0.34,0.4,0.37
tm145658,Wenn V. Deramas,The Amazing Praybeyt Benjamin,4.0,3.5,195.0,1.584,0.28,0.42,0.35
tm151860,Valve Company,Free to Play,7.6,7.0,13341.0,5.11,0.61,0.51,0.56
tm184511,Sudhir Mishra,Inkaar,6.1,5.6,2586.0,2.882,0.48,0.46,0.47
tm145216,Hasan Karacadag,Dabbe 5: Curse of the Jinn,5.9,5.3,3788.0,4.004,0.51,0.49,0.5
tm610571,,Diamonds in the Sky,7.4,,10.0,5.862,0.05,0.52,0.29
tm529733,,Chhota Bheem and the ShiNobi Secret,8.6,,6.0,5.862,0.01,0.52,0.26
tm169054,Smeep Kang,Bhaji in Problem,7.1,8.0,1021.0,1.84,0.41,0.43,0.42
tm154729,Abhishek Chaubey,Dedh Ishqiya,7.0,6.5,7236.0,2.411,0.56,0.45,0.5
tm187505,Mae Cruz-Alviar,She's The One,6.3,6.2,210.0,1.282,0.29,0.4,0.34
tm177645,Selçuk Aydemir,Wedding Association,7.0,6.3,22458.0,4.209,0.65,0.49,0.57
tm155507,James Yukich,Chelsea Handler: Uganda Be Kidding Me Live,5.8,6.4,1179.0,2.714,0.42,0.46,0.44
tm182580,Amin Dora,Ghadi,7.3,6.5,1128.0,2.793,0.42,0.46,0.44
tm152843,Warren P. Sonoda,Swearnet: The Movie,6.0,5.4,2769.0,4.778,0.48,0.5,0.49
tm147405,Katy Chevigny,E-Team,7.1,6.0,873.0,2.421,0.4,0.45,0.43
tm147405,Ross Kauffman,E-Team,7.1,6.0,873.0,2.421,0.4,0.45,0.43
tm185736,Dan Forrer,SampleThis,6.4,6.6,471.0,1.8,0.35,0.43,0.39
tm587320,,El Mago Pop,6.8,,21.0,5.862,0.11,0.52,0.32
tm183805,Raj Kumar Gupta,Ghanchakkar,5.8,5.5,5052.0,4.012,0.53,0.49,0.51
tm132675,,100 Things to Do Before High School,,,2591.0,0.009,0.48,0.0,0.24
tm323262,,Seven Souls in the Skull Castle,7.3,,49.0,2.885,0.18,0.46,0.32
tm181051,Rani Massalha,Giraffada,6.3,5.8,243.0,3.451,0.3,0.48,0.39
tm169294,Frasco Mortiz,Pagpag: Siyam na Buhay,5.4,7.0,326.0,2.658,0.32,0.46,0.39
tm147908,Sekhar Kammula,Anaamika,5.5,6.0,271.0,0.973,0.31,0.38,0.34
tm178992,Fung Chih-chiang,The Midas Touch,5.0,4.0,190.0,1.883,0.28,0.43,0.36
tm250364,,Chhota Bheem in the Incan Adventure,7.5,,32.0,2.038,0.14,0.44,0.29
tm162259,Jessica Habie,Mars at Sunrise,7.8,,43.0,0.979,0.17,0.38,0.28
tm166723,Cathy Garcia-Molina,It Takes a Man and a Woman,6.7,7.8,363.0,1.892,0.33,0.43,0.38
tm177224,Punit Malhotra,Gori Tere Pyaar Mein,4.9,6.1,3861.0,4.555,0.51,0.5,0.5
tm187118,Gurmmeet Singh,What the Fish,5.2,5.5,211.0,1.349,0.29,0.4,0.34
tm577690,Steve Gukas,A Place in the Stars,6.2,,19.0,1.176,0.1,0.39,0.24
tm200926,Philippe Aractingi,Heritages,7.3,4.0,131.0,0.955,0.25,0.37,0.31
tm155014,,Trailer Park Boys: Live at the North Pole,6.7,7.0,1114.0,2.061,0.41,0.44,0.42
tm159296,Devika Bhagat,One by Two,3.9,4.4,748.0,2.275,0.38,0.44,0.41
tm179328,Erol Özlevi,Romantik Komedi 2: Bekarlığa Veda,5.1,5.1,3383.0,4.536,0.5,0.5,0.5
tm528043,,Chhota Bheem the Crown of Valhalla,7.6,,15.0,5.862,0.08,0.52,0.3
tm186408,Qaushiq Mukherjee,The Land of Cards,5.5,6.5,412.0,3.983,0.34,0.49,0.42
tm157783,,Gollu Aur Pappu,3.8,4.7,119.0,1.556,0.24,0.41,0.32
tm146144,Samar Shaikh,Bobby Jasoos,5.5,5.9,2331.0,1.886,0.47,0.43,0.45
tm144541,Diego Lerman,Refugiado,6.4,6.2,373.0,1.835,0.33,0.43,0.38
tm175364,Rajiv Chilaka,Chhota Bheem Aur Hanuman,7.3,6.2,36.0,1.509,0.15,0.41,0.28
tm136036,Antoinette Jadaone,That Thing Called Tadhana,7.4,6.4,1050.0,2.887,0.41,0.46,0.44
tm163066,Mahdi Fleifel,Xenos,7.8,5.0,2591.0,1.4,0.48,0.41,0.44
tm188290,Dado C. Lumibao,Must Be... Love,6.4,6.0,531.0,2.345,0.36,0.45,0.4
tm1223427,,Motu Patlu in Wonderland,,,2591.0,5.862,0.48,0.52,0.5
tm142852,Cathy Garcia-Molina,She's Dating the Gangster,7.0,7.2,1100.0,3.134,0.41,0.47,0.44
tm228574,Robb Wells,Swearnet Live,5.3,5.4,540.0,1.507,0.36,0.41,0.38
tm228574,John Paul Tremblay,Swearnet Live,5.3,5.4,540.0,1.507,0.36,0.41,0.38
tm228574,Mike Smith,Swearnet Live,5.3,5.4,540.0,1.507,0.36,0.41,0.38
tm171891,Sajid Khan,Himmatwala,1.7,3.3,8648.0,0.6,0.57,0.34,0.45
tm250247,,Chhota Bheem & Krishna vs Zimbara,9.1,,16.0,1.442,0.09,0.41,0.25
tm176900,Sundar C,Theeya Velai Seiyyanum Kumaru,5.3,5.6,30.0,2.895,0.14,0.46,0.3
tm158671,Savage Steve Holland,A Fairly Odd Summer,3.8,5.9,564.0,8.572,0.36,0.55,0.46
tm144557,Hakan Algul,Deliha,4.5,5.7,4315.0,5.163,0.52,0.51,0.52
tm528044,,Chhota Bheem Neeli Pahaadi,8.7,,10.0,5.862,0.05,0.52,0.29
tm169669,Cathy Garcia-Molina,Four Sisters and a Wedding,7.2,7.1,816.0,4.565,0.39,0.5,0.44
tm149541,Jay Chapman,D.L. Hughley: Clear,6.8,6.6,253.0,2.854,0.3,0.46,0.38
tm144451,Carey McKenzie,Cold Harbour,5.2,4.2,215.0,1.955,0.29,0.43,0.36
tm205684,Kenneth Gyang,Confusion Na Wa,7.0,7.0,38.0,1.513,0.16,0.41,0.28
tm175577,Michelle Bello,Flower Girl,6.0,6.0,108.0,0.628,0.24,0.34,0.29
tm178234,Lara Saba,Blind Intersections,6.6,4.5,176.0,1.262,0.27,0.4,0.34
tm176553,Tony Abulu,Doctor Bello,4.8,6.0,54.0,1.802,0.18,0.43,0.3
tm481846,,Chhota Bheem Dus pe Dus,5.1,,23.0,5.862,0.12,0.52,0.32
tm138280,Gaurav Narayanan,Sigaram Thodu,6.1,5.4,462.0,1.509,0.35,0.41,0.38
tm156397,Olivia M. Lamasan,Starting Over Again,8.3,7.2,15.0,2.044,0.08,0.44,0.26
tm159094,Thiru,Naan Sigappu Manithan,6.5,6.4,1092.0,2.416,0.41,0.45,0.43
tm1194608,Suhas Kadav,Motu Patlu: Deep Sea Adventure,,,2591.0,0.879,0.48,0.37,0.42
tm460055,Hernán Zin,The War Against Women,7.3,6.3,74.0,1.305,0.21,0.4,0.3
tm157286,Rajesh Ganguly,The Royal Bengal Tiger,6.8,6.7,909.0,1.576,0.4,0.42,0.41
tm179248,R Kannan,Settai,4.5,5.1,525.0,2.696,0.36,0.46,0.41
tm1036195,Arab Nasser,Condom Lead,,,2591.0,1.4,0.48,0.41,0.44
tm1036195,Tarzan Nasser,Condom Lead,,,2591.0,1.4,0.48,0.41,0.44
tm681614,,Grandmother's Farm,2.9,,78.0,5.862,0.21,0.52,0.36
tm242276,Rajesh Touchriver,Na Bangaaru Talli,7.2,7.0,160.0,0.921,0.27,0.37,0.32
tm159701,Wyatt Cenac,Wyatt Cenac: Brooklyn,6.3,6.2,231.0,1.806,0.29,0.43,0.36
tm177376,Jay Chapman,Todd Glass Talks About Stuff,,,2591.0,1.801,0.48,0.43,0.45
tm150962,Satish Rajwade,Mumbai Delhi Mumbai,5.7,6.3,357.0,1.4,0.33,0.41,0.37
tm232579,Taika Waititi,Hunt for the Wilderpeople,7.8,7.7,128676.0,11.591,0.78,0.58,0.68
tm243100,David Mackenzie,Hell or High Water,7.6,7.303,227350.0,28.227,0.82,0.65,0.74
tm195209,Brian Helgeland,Legend,6.9,6.985,178601.0,333.013,0.8,0.85,0.82
tm239760,Adam Wingard,Blair Witch,5.0,5.2,44716.0,19.407,0.7,0.62,0.66
tm204163,Todd Phillips,War Dogs,7.1,6.9,212032.0,32.374,0.82,0.66,0.74
tm135307,Michael Mann,Blackhat,5.4,5.5,58192.0,38.675,0.72,0.67,0.7
tm205890,James Watkins,The Take,6.3,6.3,43449.0,17.563,0.7,0.61,0.66
tm239727,Tom Ford,Nocturnal Animals,7.5,7.5,264884.0,24.273,0.83,0.64,0.74
tm242705,Julia Ducournau,Raw,7.0,7.08,72460.0,14.899,0.73,0.6,0.66
tm138905,Quentin Tarantino,The Hateful Eight,7.8,7.737,570138.0,26.531,0.89,0.64,0.76
tm140391,Joe Wright,Pan,5.7,6.0,63788.0,24.494,0.73,0.64,0.68
tm199607,Joel Edgerton,The Gift,7.0,6.7,155102.0,15.146,0.79,0.6,0.7
tm137869,Simon West,Wild Card,5.6,5.6,55605.0,66.805,0.71,0.72,0.72
tm120609,Joel Coen,"Hail, Caesar!",6.3,5.9,133837.0,11.125,0.78,0.57,0.68
tm120609,Ethan Coen,"Hail, Caesar!",6.3,5.9,133837.0,11.125,0.78,0.57,0.68
tm137693,Guillermo del Toro,Crimson Peak,6.5,6.64,146073.0,27.654,0.79,0.65,0.72
tm137002,S. S. Rajamouli,Bāhubali: The Beginning,8.0,7.6,120110.0,57.23,0.77,0.7,0.74
tm206698,Mike Flanagan,Ouija: Origin of Evil,5.3,6.1,6.0,44.508,0.01,0.68,0.34
tm139841,Ciarán Foy,Sinister 2,5.3,5.8,54305.0,34.866,0.71,0.66,0.68
tm233377,Kelly Fremon Craig,The Edge of Seventeen,7.3,7.2,124099.0,31.226,0.78,0.66,0.72
tm143984,Babak Najafi,London Has Fallen,5.9,6.145,157409.0,47.627,0.79,0.69,0.74
tm233425,Naoko Yamada,A Silent Voice: The Movie,8.1,8.409,77667.0,162.66,0.74,0.79,0.76
tm120108,Jennifer Yuh Nelson,Kung Fu Panda 3,7.1,6.851,155678.0,91.033,0.79,0.74,0.76
tm120108,Alessandro Carloni,Kung Fu Panda 3,7.1,6.851,155678.0,91.033,0.79,0.74,0.76
tm239676,Mike Flanagan,Hush,6.6,6.7,123667.0,20.608,0.78,0.62,0.7
tm212927,Paco Cabezas,Mr. Right,6.3,6.439,55955.0,16.884,0.72,0.61,0.66
tm194792,William Brent Bell,The Boy,6.0,5.9,90853.0,29.848,0.75,0.65,0.7
tm193769,Danny Boyle,Steve Jobs,7.2,6.8,168042.0,12.847,0.8,0.58,0.69
tm138297,James Wan,The Conjuring 2,7.3,7.283,264195.0,171.724,0.83,0.79,0.81
tm132273,Tim Johnson,Home,6.6,6.8,101975.0,50.179,0.76,0.69,0.72
tm143085,Neill Blomkamp,Chappie,6.8,6.8,249345.0,117.369,0.83,0.76,0.8
tm245271,Keiichi Sato,Gantz:O,7.1,7.3,14950.0,28.818,0.61,0.65,0.63
tm245271,Yasushi Kawamura,Gantz:O,7.1,7.3,14950.0,28.818,0.61,0.65,0.63
tm135106,Ti West,In a Valley of Violence,6.0,6.1,18987.0,13.597,0.63,0.59,0.61
tm196296,J. A. Bayona,A Monster Calls,7.4,7.2,87806.0,84.977,0.75,0.74,0.74
tm209987,Jessica Adler,Christine,6.9,6.8,15146.0,11.1,0.61,0.57,0.59
tm219233,Jeff Nichols,Loving,7.0,6.7,34326.0,16.664,0.68,0.6,0.64
tm199700,Tom Hooper,The Danish Girl,7.1,7.6,183579.0,21.369,0.81,0.62,0.72
tm233214,Babak Anvari,Under the Shadow,6.8,6.5,27337.0,9.878,0.66,0.56,0.61
tm136483,Ari Sandel,The DUFF,6.4,6.8,93675.0,26.748,0.75,0.64,0.7
tm134791,Levan Gabriadze,Unfriended,5.5,5.5,73854.0,26.429,0.74,0.64,0.69
tm221740,Stephen Dunn,Closet Monster,7.0,7.1,8239.0,10.868,0.57,0.57,0.57
tm140843,Tarsem Singh,Self/less,6.5,6.407,98837.0,24.941,0.76,0.64,0.7
tm219248,Rob Burnett,The Fundamentals of Caring,7.3,7.326,72083.0,14.985,0.73,0.6,0.66
tm196125,Michael Showalter,"Hello, My Name Is Doris",6.6,6.4,21105.0,13.528,0.64,0.59,0.62
tm204035,Nic Mathieu,Spectral,6.3,6.43,59040.0,30.663,0.72,0.65,0.68
tm233521,Chris Kelly,Other People,6.8,6.4,11418.0,5.903,0.59,0.52,0.55
tm206512,Mario Miscione,Circle,6.0,6.0,52925.0,14.711,0.71,0.59,0.65
tm206512,Aaron Hann,Circle,6.0,6.0,52925.0,14.711,0.71,0.59,0.65
tm239743,Sam Liu,Batman: The Killing Joke,6.4,6.615,56275.0,25.747,0.72,0.64,0.68
tm200126,Jason Krawczyk,He Never Died,6.3,6.1,20376.0,10.541,0.64,0.57,0.6
tm208622,Nima Nourizadeh,American Ultra,6.1,6.1,89912.0,20.733,0.75,0.62,0.68
tm244788,Ava DuVernay,13th,8.2,8.0,35302.0,8.675,0.68,0.55,0.62
tm139532,Mike Flanagan,Before I Wake,6.2,6.4,46334.0,99.185,0.7,0.75,0.72
tm253083,Alexandre Lehmann,Blue Jay,7.2,7.0,17346.0,7.83,0.63,0.54,0.58
tm136321,Jennifer Phang,Advantageous,6.2,6.0,5378.0,6.297,0.54,0.53,0.54
tm225308,Werner Herzog,Into the Inferno,7.2,7.0,8693.0,9.998,0.57,0.56,0.56
tm238722,David Frankel,Collateral Beauty,6.7,7.3,99712.0,25.409,0.76,0.64,0.7
tm136257,Cary Joji Fukunaga,Beasts of No Nation,7.7,7.6,80750.0,10.424,0.74,0.57,0.66
tm244403,Tony Elliott,ARQ,6.3,6.1,39108.0,20.157,0.69,0.62,0.66
tm200690,Jason Zada,The Forest,4.8,5.2,42561.0,33.204,0.69,0.66,0.68
tm147082,Liz Garbus,"What Happened, Miss Simone?",7.6,7.5,13872.0,6.186,0.61,0.53,0.57
tm233465,Stacy Title,The Bye Bye Man,4.3,5.2,23960.0,28.381,0.65,0.65,0.65
tm230551,Wilson Yip,Ip Man 3,7.0,7.0,54977.0,38.051,0.71,0.67,0.69
tm228677,Thibaut Buccellato,The Space Between Us,6.4,7.1,52698.0,23.219,0.71,0.63,0.67
tm155102,Will Canon,Demonic,5.3,5.3,14882.0,8.722,0.61,0.55,0.58
tm220594,Evgeny Afineevsky,Winter on Fire: Ukraine's Fight for Freedom,8.3,8.0,18748.0,7.755,0.63,0.54,0.58
tm243121,Christopher Guest,Mascots,5.8,5.4,7430.0,8.794,0.56,0.55,0.56
tm205812,Richie Smyth,The Siege of Jadotville,7.2,7.2,39404.0,11.351,0.69,0.57,0.63
tm234586,Vetrimaaran,Visaranai,8.5,8.0,10548.0,4.442,0.59,0.5,0.54
tm135543,Angelina Jolie,By the Sea,5.3,5.6,20541.0,10.203,0.64,0.57,0.6
tm215638,Isaac Florentine,Boyka: Undisputed IV,,7.0,2591.0,145.287,0.48,0.78,0.63
tm215638,Todor Chapkanov,Boyka: Undisputed IV,,7.0,2591.0,145.287,0.48,0.78,0.63
tm239683,Jon Greenhalgh,Team Foxcatcher,7.3,7.1,6572.0,6.08,0.55,0.52,0.54
tm214825,Frank Coraci,The Ridiculous 6,4.8,5.152,47935.0,40.711,0.7,0.68,0.69
tm242736,Christopher Storer,Bo Burnham: Make Happy,8.4,8.2,14356.0,8.245,0.61,0.55,0.58
tm242736,Bo Burnham,Bo Burnham: Make Happy,8.4,8.2,14356.0,8.245,0.61,0.55,0.58
tm239707,Steven Brill,The Do-Over,5.7,5.672,46260.0,11.466,0.7,0.57,0.64
tm136061,Sarah Gavron,Suffragette,6.9,7.3,41983.0,12.013,0.69,0.58,0.64
tm239733,Timo Tjahjanto,Headshot,6.3,6.5,14824.0,19.074,0.61,0.62,0.62
tm239733,Kimo Stamboel,Headshot,6.3,6.5,14824.0,19.074,0.61,0.62,0.62
tm142881,Jon M. Chu,Jem and the Holograms,4.1,5.5,7867.0,9.666,0.56,0.56,0.56
tm232953,J.D. Dillard,Sleight,5.9,5.4,8644.0,5.226,0.57,0.51,0.54
tm193125,Jill Bauer,Hot Girls Wanted,6.1,5.914,17557.0,37.12,0.63,0.67,0.65
tm193125,Ronna Gradus,Hot Girls Wanted,6.1,5.914,17557.0,37.12,0.63,0.67,0.65
tm244507,Mariano Cohn,The Distinguished Citizen,7.5,7.3,11876.0,8.804,0.6,0.55,0.57
tm244507,Gastón Duprat,The Distinguished Citizen,7.5,7.3,11876.0,8.804,0.6,0.55,0.57
tm134516,Yuen Woo-ping,"Crouching Tiger, Hidden Dragon: Sword of Destiny",6.1,6.1,19500.0,21.103,0.63,0.62,0.62
tm270504,Sean Foley,Mindhorn,6.3,6.1,12737.0,8.406,0.6,0.55,0.57
tm244880,Oz Perkins,I Am the Pretty Thing That Lives in the House,4.6,4.4,14580.0,9.719,0.61,0.56,0.58
tm233317,John Lee,Pee-wee's Big Holiday,6.1,6.2,8064.0,10.884,0.57,0.57,0.57
tm205333,Antoinette Jadaone,You're My Boss,6.3,8.1,278.0,1.899,0.31,0.43,0.37
tm233533,Nadia Latif,White Girl,5.7,5.7,10646.0,17.731,0.59,0.61,0.6
tm138672,Matthew Ross,Frank & Lola,5.9,5.6,6083.0,10.404,0.54,0.57,0.55
tm323616,Oyefunke Fayoyin,The Visit,,6.0,2591.0,0.6,0.48,0.34,0.41
tm245378,Vikram Gandhi,Barry,5.9,5.8,7212.0,5.957,0.56,0.52,0.54
tm221225,Ricky Gervais,David Brent: Life on the Road,6.3,6.135,20005.0,8.871,0.64,0.55,0.6
tm157283,Alonso Ruizpalacios,Güeros,7.4,7.5,4275.0,7.65,0.52,0.54,0.53
tm211302,Ray Yeung,Front Cover,6.4,6.4,1059.0,3.39,0.41,0.48,0.44
tm253080,Alban Teurlai,Rocco,5.7,5.6,3998.0,21.008,0.51,0.62,0.56
tm253080,Thierry Demaizière,Rocco,5.7,5.6,3998.0,21.008,0.51,0.62,0.56
tm139194,Kevin Munroe,Ratchet & Clank,5.5,5.8,10919.0,22.825,0.59,0.63,0.61
tm139194,Jericca Cleland,Ratchet & Clank,5.5,5.8,10919.0,22.825,0.59,0.63,0.61
tm238748,Greg McLean,The Darkness,4.5,4.8,16090.0,14.347,0.62,0.59,0.6
tm233544,Alik Sakharov,Marco Polo: One Hundred Eyes,7.8,7.3,10742.0,6.475,0.59,0.53,0.56
tm244134,Adam Leon,Tramps,6.5,6.1,5605.0,8.491,0.54,0.55,0.55
tm233616,Rob Silvestri,LEGO Marvel Super Heroes: Avengers Reassembled!,6.1,6.5,862.0,16.252,0.4,0.6,0.5
tm244381,Steven C. Miller,Marauders,5.5,5.8,21929.0,17.087,0.64,0.61,0.62
tm238661,Ricky Gervais,Special Correspondents,5.8,5.7,24129.0,10.794,0.65,0.57,0.61
tm244915,Sabbir Khan,Baaghi,5.3,6.4,8994.0,16.534,0.57,0.6,0.58
tm219276,Siân Heder,Tallulah,6.7,6.8,20208.0,7.195,0.64,0.54,0.59
tm316731,Ryan Polito,Bert Kreischer: The Machine,7.6,7.7,1555.0,2.92,0.44,0.46,0.45
tm247642,Brian McGinn,Amanda Knox,6.9,6.7,24488.0,8.847,0.65,0.55,0.6
tm247642,Rod Blackhurst,Amanda Knox,6.9,6.7,24488.0,8.847,0.65,0.55,0.6
tm240007,Don Michael Paul,Sniper: Ghost Shooter,,6.6,2591.0,24.331,0.48,0.64,0.56
tm138792,Andrew Bujalski,Results,5.4,5.0,7140.0,6.672,0.56,0.53,0.55
tm244052,Joe DeMaio,Sebastian Maniscalco: Why Would You Do That?,7.4,7.8,1100.0,2.615,0.41,0.46,0.44
tm123789,Cyrus Nowrasteh,The Young Messiah,5.6,6.3,3576.0,22.159,0.5,0.63,0.56
tm219173,Peter Billingsley,Term Life,5.5,5.9,8030.0,16.084,0.57,0.6,0.58
tm208903,Adam Nimoy,For the Love of Spock,7.6,7.5,4349.0,8.63,0.52,0.55,0.54
tm229542,Rhys Thomas,John Mulaney: The Comeback Kid,7.9,7.8,8595.0,4.784,0.57,0.5,0.53
tm211510,Brad Peyton,Incarnate,5.2,5.4,13090.0,14.911,0.6,0.6,0.6
tm205870,Fabrice Du Welz,Message from the King,6.4,6.2,16513.0,15.381,0.62,0.6,0.61
tm238681,Rodolphe Guenoden,Kung Fu Panda: Secrets of the Scroll,,6.8,2591.0,34.3,0.48,0.66,0.57
tm229140,Adam Dubin,Anthony Jeselnik: Thoughts and Prayers,,7.4,2591.0,4.566,0.48,0.5,0.49
tm266628,Michael D. Black,LEGO Jurassic World: The Indominus Escape,,5.7,2591.0,20.853,0.48,0.62,0.55
tm271070,Matthias Hoene,The Warriors Gate,5.4,6.7,5098.0,15.133,0.53,0.6,0.56
tm214085,Ashley York,Tig,7.4,7.2,2691.0,5.984,0.48,0.52,0.5
tm214085,Kristina Goolsby,Tig,7.4,7.2,2691.0,5.984,0.48,0.52,0.5
tm218052,Nishikant Kamat,Drishyam,8.2,7.9,80320.0,9.208,0.74,0.56,0.65
tm248010,Daniel Emeke Oriahi,Taxi Driver,6.0,5.3,69.0,1.191,0.2,0.39,0.3
tm267135,Jayme Monjardim,The Dreamseller,6.0,6.5,1468.0,11.071,0.44,0.57,0.5
tm246870,Ed Gass-Donnelly,Lavender,5.3,5.7,7138.0,11.319,0.56,0.57,0.56
tm245235,Jay Karas,Ali Wong: Baby Cobra,7.5,7.3,6988.0,6.367,0.56,0.53,0.55
tm235405,Paul Gross,Hyena Road,6.5,6.7,7839.0,9.363,0.56,0.56,0.56
tm218186,Wayne Blair,Septembers of Shiraz,7.9,5.7,38.0,8.065,0.16,0.55,0.36
tm228242,Sofia Coppola,A Very Murray Christmas,5.5,5.3,15455.0,9.185,0.62,0.56,0.59
tm244513,Houda Benyamina,Divines,7.4,7.763,9821.0,9.632,0.58,0.56,0.57
tm232954,Jon Shenk,Audrie & Daisy,7.2,7.2,6602.0,5.6,0.55,0.52,0.54
tm232954,Bonni Cohen,Audrie & Daisy,7.2,7.2,6602.0,5.6,0.55,0.52,0.54
tm239290,Dan Villegas,Always Be My Maybe,6.6,7.3,379.0,2.434,0.33,0.45,0.39
tm290444,Park Jung-woo,Pandora,6.6,7.5,7416.0,27.496,0.56,0.65,0.6
tm225693,Morgan Neville,Keith Richards: Under the Influence,7.1,6.7,3383.0,5.383,0.5,0.51,0.5
tm267429,Janice Cooke,"Surviving Compton: Dre, Suge and Michel'le",6.5,6.1,718.0,2.138,0.38,0.44,0.41
tm272413,Jerry Seinfeld,Colin Quinn: The New York Story,6.9,6.3,1001.0,2.917,0.41,0.46,0.44
tm138584,Vibhu Puri,Hawaizaada,5.5,6.0,1942.0,3.027,0.46,0.47,0.46
tm225275,John Lyde,Riot,5.1,5.8,3369.0,12.429,0.5,0.58,0.54
tm209950,Leslie Small,Kevin Hart: What Now?,5.9,6.5,9501.0,10.176,0.58,0.57,0.57
tm209950,Tim Story,Kevin Hart: What Now?,5.9,6.5,9501.0,10.176,0.58,0.57,0.57
tm308241,Joe Menendez,Legends of the Hidden Temple,5.6,6.7,921.0,3.528,0.4,0.48,0.44
tm213681,Ryoo Seung-wan,Veteran,7.0,6.9,6611.0,9.614,0.55,0.56,0.56
tm139870,Isaac Rentz,Opening Night,6.0,5.9,2662.0,7.809,0.48,0.54,0.51
tm239739,Anurag Kashyap,Raman Raghav 2.0,7.4,7.1,14380.0,6.61,0.61,0.53,0.57
tm246175,Måns Herngren,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,6.3,6.4,6023.0,7.299,0.54,0.54,0.54
tm246175,Felix Herngren,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,6.3,6.4,6023.0,7.299,0.54,0.54,0.54
tm195764,Hannah Fidell,6 Years,5.6,5.4,12441.0,7.652,0.6,0.54,0.57
tm233561,Jay Grace,Shaun the Sheep: The Farmer's Llamas,6.8,6.6,1400.0,8.513,0.43,0.55,0.49
tm217939,Claude Lelouch,Un + une,6.2,5.9,2336.0,4.579,0.47,0.5,0.48
tm200454,Mani Ratnam,Ok Kanmani,7.4,6.8,5877.0,4.318,0.54,0.5,0.52
tm266844,Jeff Wadlow,True Memoirs of an International Assassin,5.9,5.8,22891.0,16.152,0.65,0.6,0.62
tm300713,Shigeaki Kubo,High & Low The Movie,6.4,6.0,583.0,2.513,0.37,0.45,0.41
tm240895,Katherine Dieckmann,Strange Weather,6.0,5.9,1499.0,9.634,0.44,0.56,0.5
tm275800,Gerardo Olivares,The Lighthouse of the Orcas,6.7,7.0,3910.0,10.09,0.51,0.56,0.54
tm276430,Aleksey Kiryushchenko,Servant Of The People 2,6.2,6.1,417.0,6.053,0.34,0.52,0.43
