id,name,title,imdb_score,tmdb_score,imdb_votes,tmdb_popularity,nor_imdb_vote,nor_tmdb_popularity,weighted_average_popularity
tm133914,Ian MacNaughton,Parrot Sketch Not Included: Twenty Years of Monty Python,8.1,6.9,1522.0,1.801,0.44,0.43,0.44
tm38736,Buzz Kulik,Too Young The Hero,6.7,6.2,502.0,1.485,0.35,0.41,0.38
tm51083,Larry Elikann,A Stoning in Fulham County,5.9,5.8,387.0,1.01,0.33,0.38,0.36
tm137013,John Herzfeld,The Ryan White Story,7.2,5.9,863.0,1.981,0.4,0.43,0.42
tm157603,Indra Kumar,Dil,6.6,6.5,5316.0,3.992,0.53,0.49,0.51
tm258072,Robert Markowitz,Adam: His Song Continues,7.0,7.0,212.0,1.603,0.29,0.42,0.36
tm114356,Eric Laneuville,The George McKenna Story,6.0,6.1,921.0,2.296,0.4,0.45,0.43
tm157853,Joel Oliansky,In Defense of a Married Man,5.6,4.9,207.0,2.444,0.29,0.45,0.37
tm132164,Kevin Booth,Bill Hicks: Sane Man,,7.5,2591.0,3.377,0.48,0.48,0.48
tm132164,David Johndrow,Bill Hicks: Sane Man,,7.5,2591.0,3.377,0.48,0.48,0.48
tm446654,Umesh Mehra,Mujrim,5.4,6.0,197.0,1.418,0.28,0.41,0.34
tm348735,Rajiv Mehra,Aakhri Adaalat,5.1,5.0,92.0,1.374,0.22,0.4,0.31
tm151332,Youssef Chahine,"Alexandria, Again and Forever",6.5,5.3,658.0,0.817,0.37,0.36,0.36
tm342996,Ramesh Talwar,Duniya,6.3,,245.0,1.394,0.3,0.41,0.36
tm24110,Arthur Allan Seidelman,Strange Voices,6.3,6.8,360.0,2.76,0.33,0.46,0.4
tm371359,Umesh Mehra,Jaal,5.2,5.0,125.0,3.366,0.25,0.48,0.36
tm55091,Roy Campanella II,Quiet Victory: The Charlie Wedemeyer Story,7.2,8.0,144.0,2.246,0.26,0.44,0.35
tm311264,Prakash Mehra,Muqaddar Ka Faisla,4.8,,69.0,2.236,0.2,0.44,0.32
tm411457,Rajiv Mehra,Pyar Ke Do Pal,6.1,,66.0,1.756,0.2,0.42,0.31
tm172482,Latif Faiziyev,Sohni Mahiwal,6.1,5.8,297.0,6.052,0.31,0.52,0.42
tm172482,Umesh Mehra,Sohni Mahiwal,6.1,5.8,297.0,6.052,0.31,0.52,0.42
tm419052,Rajiv Mehra,Ek Jaan Hain Hum,6.3,7.0,70.0,0.986,0.2,0.38,0.29
tm47673,Youssef Chahine,An Egyptian Story,7.3,6.7,1126.0,1.77,0.42,0.42,0.42
tm52274,Maroun Bagdadi,The Little Wars,6.3,5.5,152.0,1.956,0.26,0.43,0.34
tm147829,Linda Otto,Unspeakable Acts,6.1,5.3,464.0,2.075,0.35,0.44,0.4
tm107744,Brian De Palma,Mission: Impossible,7.1,6.9,420673.0,41.115,0.87,0.68,0.78
