,name,movie_directed,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
258,Cisco Henson,['tm59880'],1,7.55,4.699999999999999,7.55,4.699999999999999,0.0,0.76
259,Farhan Akhtar,"['tm61056', 'tm30170', 'tm96595', 'tm183037']",4,28.85,24.8,7.212499999999999,6.199999999999999,3.8968290113739616,0.72
260,Sundar C,"['tm129763', 'tm66725', 'tm176900']",3,20.25,13.1,6.75,4.366666666666666,2.9478373494331396,0.68
261,Pablo Larraín,"['tm44378', 'tm23977']",2,12.55,9.4,6.275,4.7,1.7243743076436346,0.63
262,Julia Reichert,"['tm25842', 'tm446176', 'tm877456']",3,22.0,13.6,7.333333333333333,4.533333333333333,2.9478373494331396,0.73
263,Steven Bognar,"['tm25842', 'tm446176', 'tm877456']",3,22.0,13.6,7.333333333333333,4.533333333333333,2.9478373494331396,0.73
264,Noriyuki Abe,"['tm34846', 'tm93612', 'tm374845']",3,21.8,17.4,7.266666666666666,5.8,2.9478373494331396,0.73
265,C.B. Harding,['tm71119'],1,4.3,5.8,4.3,5.8,0.0,0.43
266,David Lee Miller,['tm170873'],1,6.55,4.6000000000000005,6.55,4.6000000000000005,0.0,0.66
267,Neeraj Vora,['tm22540'],1,6.75,6.0,6.75,6.0,0.0,0.68
268,Masahiko Murata,"['tm96037', 'tm147494', 'tm177044']",3,21.200000000000003,19.2,7.066666666666667,6.4,2.9478373494331396,0.71
269,Ted Emery,"['tm168869', 'tm57382']",2,11.9,8.2,5.949999999999999,4.1,1.7243743076436346,0.6
270,Shannon Hartman,"['tm147686', 'tm183039', 'tm149914', 'tm314705', 'tm311902', 'tm421161', 'tm475783']",7,49.7,33.0,7.1000000000000005,4.714285714285714,5.895674698866278,0.71
271,Priyadarshan,"['tm29731', 'tm156575', 'tm242906']",3,19.6,14.1,6.533333333333334,4.7,2.9478373494331396,0.65
272,Madhur Bhandarkar,"['tm44530', 'tm69915']",2,11.6,10.7,5.8,5.35,1.7243743076436346,0.58
273,Ryoo Seung-wan,"['tm89936', 'tm104349', 'tm168685', 'tm213681', 'tm311995']",5,33.85,27.5,6.7700000000000005,5.5,4.672211657076773,0.68
274,Juan Pablo Rebella,['tm81461'],1,6.949999999999999,5.300000000000001,6.949999999999999,5.300000000000001,0.0,0.7
275,Pablo Stoll,['tm81461'],1,6.949999999999999,5.300000000000001,6.949999999999999,5.300000000000001,0.0,0.7
276,Laura Mañá,['tm48083'],1,3.5,3.0,3.5,3.0,0.0,0.35
277,Preston A. Whitmore II,['tm84348'],1,5.4,5.1,5.4,5.1,0.0,0.54
