name,movie acted,num_of_movie,sum_score,sum_popularity,avg_score,avg_popularity,ClusterLabel
Martin Scorsese,"['tm84618', 'tm155787', 'tm27911', 'tm186461', 'tm244149', 'tm453099']",6,4.701039636127355,18.863027778543184,0.7835066060212258,3.143837963090531,2
John Boorman,['tm154986'],1,0.7406107862248213,2.3978952727983707,0.7406107862248213,2.3978952727983707,1
Terry Jones,"['tm127384', 'tm70993']",2,1.5832358674463936,5.737217250742439,0.7916179337231968,2.8686086253712197,0
Terry Gilliam,['tm127384'],1,0.7977907732293696,2.803360380906535,0.7977907732293696,2.803360380906535,0
Robert Aldrich,['tm120801'],1,0.7564002599090318,3.0633909220278057,0.7564002599090318,3.0633909220278057,0
Don Siegel,['tm14873'],1,0.751137102014295,2.624668592163159,0.751137102014295,2.624668592163159,0
Arthur Penn,['tm119281'],1,0.751137102014295,2.815408719422709,0.751137102014295,2.815408719422709,0
Randal Kleiser,['tm98978'],1,0.5654320987654321,3.937690752176724,0.5654320987654321,3.937690752176724,0
J. Lee Thompson,['tm44204'],1,0.7282651072124757,2.694627180770069,0.7282651072124757,2.694627180770069,0
Richard Brooks,['tm67378'],1,0.7053931124106563,2.6461747973841225,0.7053931124106563,2.6461747973841225,0
Jeff Margolis,['tm69997'],1,0.7758284600389863,1.7404661748405046,0.7758284600389863,1.7404661748405046,1
Michael Curtiz,['tm16479'],1,0.7230019493177389,2.2925347571405443,0.7230019493177389,2.2925347571405443,1
Youssef Chahine,"['tm135083', 'tm14350', 'tm81728', 'tm27298', 'tm19608', 'tm204541', 'tm90896', 'tm151332', 'tm47673', 'tm44776', 'tm117840']",11,7.237491877842756,11.279299038644758,0.6579538070766142,1.025390821694978,2
Joachim Fest,['tm89386'],1,0.7282651072124757,1.667706820558076,0.7282651072124757,1.667706820558076,1
Francine Parker,['tm156453'],1,0.5848602988953866,0.832909122935104,0.5848602988953866,0.832909122935104,1
Raj Khosla,['tm94651'],1,0.2686159844054581,1.6094379124341005,0.2686159844054581,1.6094379124341005,1
Umesh Mehra,"['tm100027', 'tm446654', 'tm371359', 'tm172482', 'tm449775']",5,2.6823261858349574,6.431011030722553,0.5364652371669915,1.2862022061445106,2
Latif Faiziyev,"['tm100027', 'tm172482']",2,1.1846003898635478,3.241028629509334,0.5923001949317739,1.620514314754667,1
Maroun Bagdadi,"['tm259855', 'tm200475', 'tm259684', 'tm52274', 'tm7032']",5,3.004938271604938,3.984529696214894,0.6009876543209877,0.7969059392429788,2
Shakti Samanta,['tm356209'],1,0.607732293697206,0.5877866649021191,0.607732293697206,0.5877866649021191,1
Mohammed Hussain,['tm336403'],1,0.395906432748538,1.0647107369924282,0.395906432748538,1.0647107369924282,1
Suhail Tatari,['tm107372'],1,0.5612735542560104,0.9162907318741552,0.5612735542560104,0.9162907318741552,1
A. Salaam,['tm403346'],1,0.4808317089018843,0.4700036292457356,0.4808317089018843,0.4700036292457356,1
Alo Sarkar,['tm16812'],1,0.4684860298895387,0.7884573603642702,0.4684860298895387,0.7884573603642702,1
Stanley Kubrick,['tm22327'],1,0.8197530864197531,3.5234150143864045,0.8197530864197531,3.5234150143864045,0
Sergio Leone,['tm180542'],1,0.8408057179987005,3.3978584803966405,0.8408057179987005,3.3978584803966405,0
Rob Reiner,"['tm138875', 'tm74780', 'tm165593']",3,1.9780376868096168,8.588462137346095,0.6593458956032056,2.8628207124486984,0
Wes Craven,['tm2386'],1,0.7220922677063029,3.899950424193877,0.7220922677063029,3.899950424193877,0
Herbert Ross,['tm133087'],1,0.7106562703053931,2.5416019934645457,0.7106562703053931,2.5416019934645457,0
Hugh Wilson,['tm177480'],1,0.642040285899935,3.277144732992177,0.642040285899935,3.277144732992177,0
John Carpenter,"['tm54450', 'tm49178']",2,1.2417803768680962,5.601528240617444,0.6208901884340481,2.800764120308722,0
Penny Marshall,['tm145608'],1,0.7730994152046784,2.580216829592325,0.7730994152046784,2.580216829592325,0
Jeremiah S. Chechik,['tm147710'],1,0.7230019493177389,2.990719731730447,0.7230019493177389,2.990719731730447,0
John G. Avildsen,['tm142895'],1,0.7220922677063029,3.0155349008501706,0.7220922677063029,3.0155349008501706,0
Robert Townsend,"['tm20712', 'tm1152323']",2,1.348148148148148,3.478158422798284,0.674074074074074,1.739079211399142,1
Spike Lee,"['tm117580', 'tm183523', 'tm319477', 'tm843444']",4,2.333268356075373,9.438129245056905,0.5833170890188434,2.359532311264226,2
Franco Zeffirelli,['tm130586'],1,0.4835607537361924,3.0007198150650303,0.4835607537361924,3.0007198150650303,0
Vishnu Raghav,['tm721687'],1,0.6525666016894087,1.5686159179138452,0.6525666016894087,1.5686159179138452,1
Yoshiyuki Tomino,"['tm40103', 'tm125985', 'tm49037']",3,2.133788174139051,7.471845043741005,0.7112627247130171,2.490615014580335,1
Walter C. Miller,"['tm21953', 'tm8687']",2,1.3078622482131257,2.0592388343623163,0.6539311241065627,1.029619417181158,1
Alejandro Doria,['tm126769'],1,0.8012345679012345,2.174751721484161,0.8012345679012345,2.174751721484161,1
Ellen Brown,"['tm152839', 'tm7951', 'tm7135']",3,1.886159844054581,3.1886227816971804,0.6287199480181936,1.0628742605657269,1
Terry Hughes,['tm62924'],1,0.7582196231319038,2.0541237336955462,0.7582196231319038,2.0541237336955462,1
Ian MacNaughton,"['tm62924', 'tm133914']",2,1.502469135802469,3.083743150876704,0.7512345679012346,1.541871575438352,1
Babbar Subhash,['tm52815'],1,0.5551007147498376,2.186051276738094,0.5551007147498376,2.186051276738094,1
Mukul Anand,['tm159912'],1,0.6923326835607537,1.62924053973028,0.6923326835607537,1.62924053973028,1
Buzz Kulik,['tm38736'],1,0.6209876543209877,0.9162907318741552,0.6209876543209877,0.9162907318741552,1
Larry Elikann,['tm51083'],1,0.5505523066926576,0.6931471805599453,0.5505523066926576,0.6931471805599453,1
John Herzfeld,['tm137013'],1,0.6360623781676413,1.0986122886681098,0.6360623781676413,1.0986122886681098,1
Indra Kumar,"['tm157603', 'tm62176']",2,1.2408706952566602,2.8903717578961645,0.6204353476283301,1.4451858789480825,1
Robert Markowitz,['tm258072'],1,0.6816114359974009,0.9555114450274363,0.6816114359974009,0.9555114450274363,1
Eric Laneuville,['tm114356'],1,0.5725146198830409,1.1939224684724346,0.5725146198830409,1.1939224684724346,1
Joel Oliansky,['tm157853'],1,0.4846653671215075,1.2237754316221157,0.4846653671215075,1.2237754316221157,1
Kevin Booth,['tm132164'],1,0.677063027940221,1.4816045409242156,0.677063027940221,1.4816045409242156,1
David Johndrow,['tm132164'],1,0.677063027940221,1.4816045409242156,0.677063027940221,1.4816045409242156,1
Rajiv Mehra,"['tm348735', 'tm411457', 'tm419052']",3,1.7129954515919428,2.598235335095003,0.5709984838639809,0.8660784450316678,1
Ramesh Talwar,['tm342996'],1,0.6278752436647173,0.8754687373538999,0.6278752436647173,0.8754687373538999,1
Arthur Allan Seidelman,['tm24110'],1,0.6278752436647173,1.33500106673234,0.6278752436647173,1.33500106673234,1
Roy Campanella II,['tm55091'],1,0.746588693957115,1.1631508098056809,0.746588693957115,1.1631508098056809,1
Prakash Mehra,['tm311264'],1,0.5352826510721247,1.1631508098056809,0.5352826510721247,1.1631508098056809,1
Linda Otto,['tm147829'],1,0.5365821962313191,1.1314021114911006,0.5365821962313191,1.1314021114911006,1
Brian De Palma,['tm107744'],1,0.6825211176088368,3.740047740688336,0.6825211176088368,3.740047740688336,0
David Fincher,"['tm15897', 'tm821789']",2,1.5128005198180636,6.608890917127787,0.7564002599090318,3.3044454585638934,0
Paul Thomas Anderson,"['tm191013', 'tm315174', 'tm819950']",3,2.1626380766731645,7.951632567909995,0.7208793588910548,2.650544189303332,0
Robert Zemeckis,['tm122434'],1,0.8716699155295646,4.165113633110308,0.8716699155295646,4.165113633110308,0
Guy Ritchie,"['tm25947', 'tm154187', 'tm178201', 'tm441050']",4,3.0125406107862247,15.242565214597075,0.7531351526965562,3.810641303649269,2
Anthony Minghella,['tm43808'],1,0.716829109811566,2.694627180770069,0.716829109811566,2.694627180770069,0
James Cameron,['tm191110'],1,0.7845354126055881,5.054333149361975,0.7845354126055881,5.054333149361975,0
Paul Verhoeven,['tm192037'],1,0.7001299545159194,3.417726683613366,0.7001299545159194,3.417726683613366,0
John Woo,"['tm27395', 'tm311319']",2,1.0755035737491878,5.956044601876721,0.5377517868745939,2.9780223009383606,0
Peter Farrelly,['tm113513'],1,0.679077322936972,3.493472657771326,0.679077322936972,3.493472657771326,0
Andrew Niccol,"['tm192405', 'tm243326']",2,1.3307342430149447,6.064993780396097,0.6653671215074723,3.0324968901980487,0
Luc Besson,['tm116655'],1,0.8426250812215725,3.958906591326997,0.8426250812215725,3.958906591326997,0
Oliver Stone,"['tm116488', 'tm40319']",2,1.3183885640025992,5.934497291466728,0.6591942820012996,2.967248645733364,0
Sam Raimi,['tm11556'],1,0.6244314489928525,2.6461747973841225,0.6244314489928525,2.6461747973841225,0
Nora Ephron,['tm56574'],1,0.642040285899935,3.122364924487357,0.642040285899935,3.122364924487357,0
Dennis Dugan,"['tm53991', 'tm93055']",2,1.1898635477582848,7.92418813435912,0.5949317738791424,3.96209406717956,0
Mike Newell,"['tm191989', 'tm357589']",2,1.4775828460038984,5.7542220714142704,0.7387914230019492,2.8771110357071352,0
Robert Redford,['tm121879'],1,0.6992202729044834,3.025291075795536,0.6992202729044834,3.025291075795536,0
James Mangold,"['tm44402', 'tm10811', 'tm136808']",3,2.1011046133853157,7.547297020522858,0.7003682044617717,2.515765673507619,0
John McTiernan,['tm187187'],1,0.6129954515919429,3.1441522786722644,0.6129954515919429,3.1441522786722644,0
Howard Zieff,['tm6859'],1,0.6964912280701755,3.068052935133617,0.6964912280701755,3.068052935133617,0
Lawrence Kasdan,['tm118238'],1,0.6525666016894087,2.7536607123542622,0.6525666016894087,2.7536607123542622,0
Chuck Russell,['tm111163'],1,0.5734243014944769,3.0155349008501706,0.5734243014944769,3.0155349008501706,0
Hideaki Anno,['tm190835'],1,0.8170240415854451,3.5145260669691587,0.8170240415854451,3.5145260669691587,0
