name,movie acted,num_of_movie,sum_score,sum_popularity,avg_score,avg_popularity,ClusterLabel
Bernie Denk,"['tm80487', 'tm845588']",2,11.2,0.9,5.6,0.45,0
Yasmin Ahmad,"['tm22558', 'tm152413', 'tm87672']",3,20.45,1.02,6.816666666666666,0.34,2
Ava DuVernay,"['tm52352', 'tm34331', 'tm244788']",3,21.55,1.44,7.183333333333333,0.48,2
Sachin Yardi,"['tm36636', 'tm74031', 'tm473813']",3,16.849999999999998,1.43,5.616666666666666,0.4766666666666666,0
Philippe Aractingi,"['tm226362', 'tm76029', 'tm200926', 'tm344562']",4,25.35,1.4700000000000002,6.3375,0.3675,1
Kingsley Ogoro,"['tm145690', 'tm89054']",2,11.95,0.88,5.975,0.44,0
Simi Opeoluwa,['tm145690'],1,5.55,0.44,5.55,0.44,0
Kevin Bray,"['tm31564', 'tm813938']",2,10.95,0.87,5.4750000000000005,0.435,0
Matt Askem,"['tm41953', 'tm165712']",2,13.75,0.92,6.875,0.4599999999999999,2
Siddharth P. Malhotra,['tm98475'],1,5.75,0.48,5.75,0.48,0
Pang Ho-cheung,['tm95434'],1,7.1,0.48,7.1,0.48,2
Dianna Basso,"['tm87909', 'tm830994']",2,14.85,0.89,7.425000000000001,0.445,2
Joey So,"['tm87909', 'tm830994']",2,14.85,0.89,7.425000000000001,0.445,2
Deimantas Narkevičius,['tm154802'],1,3.5,0.42,3.5,0.42,0
Habib Faisal,['tm97982'],1,6.95,0.48,6.95,0.48,2
Shyam Benegal,"['tm52176', 'tm101540']",2,12.5,0.9,6.25,0.45,2
Anusha Rizvi,['tm102848'],1,7.35,0.54,7.35,0.54,2
Takehiko Watanabe,['tm340006'],1,7.05,0.22,7.05,0.22,2
Prem Soni,['tm154375'],1,3.65,0.48,3.65,0.48,0
Ken Ghosh,"['tm134140', 'tm91125', 'tm95507']",3,16.3,1.46,5.433333333333334,0.4866666666666666,0
Benz Kong,['tm81864'],1,5.1,0.45,5.1,0.45,0
G.J. Echternkamp,"['tm241875', 'tm212968', 'tm452237']",3,18.0,1.3,6.0,0.4333333333333333,0
Annemarie Jacir,"['tm29028', 'tm341561']",2,12.95,0.84,6.475,0.42,2
Chineze Anyaene,['tm91176'],1,6.300000000000001,0.32,6.300000000000001,0.32,2
Paresh Mokashi,['tm143510'],1,7.7,0.46,7.7,0.46,2
Paul M. Green,['tm308960'],1,6.5,0.3,6.5,0.3,2
Greg Barker,"['tm144835', 'tm497383']",2,14.2,1.01,7.1,0.505,2
Randa Chahal Sabbag,['tm135795'],1,5.7,0.39,5.7,0.39,0
Dante Lam,['tm34924'],1,6.75,0.48,6.75,0.48,2
Raj Kumar Gupta,"['tm49865', 'tm159593', 'tm183805']",3,19.85,1.6,6.616666666666667,0.5333333333333333,2
Rajiv Chilaka,"['tm598375', 'tm481620', 'tm175364']",3,21.45,0.96,7.15,0.32,2
